DateTime,Entries,UniqueIPs
1513653062,78,78
1513656648,77,77
1513660253,77,77
1513663836,76,76
1513667465,74,74
1513671047,73,73
1513674652,73,73
1513678245,74,74
1513685445,74,74
1513689033,75,75
1513692651,75,75
1513699862,68,68
1513703442,69,69
1513707085,70,70
1513710653,77,77
1513714243,78,78
1513717844,78,78
1513721460,77,77
1513725058,75,75
1513728713,95,95
1513732265,95,95
1513735866,97,97
1513739491,67,67
1513743066,68,68
1513746694,70,70
1513750253,70,70
1513753853,70,70
1513757465,70,70
1513761047,69,69
1513764646,67,67
1513768261,65,65
1513775441,66,66
1513782687,68,68
1513786239,69,69
1513789879,69,69
1513793463,71,71
1513797051,70,70
1513800686,69,69
1513804229,69,69
1513807878,68,68
1513815099,80,80
1513818677,81,81
1513822293,79,79
1513825860,69,69
1513829469,68,68
1513833067,68,68
1513836677,68,68
1513840259,68,68
1513843883,70,70
1513847455,69,69
1513851062,70,70
1513854676,70,70
1513858258,68,68
1513865475,68,68
1513869064,69,69
1513872669,68,68
1513876296,70,70
1513879849,69,69
1513883460,69,69
1513887094,69,69
1513890657,68,68
1513894270,68,68
1513897880,69,69
1513901483,86,86
1513905043,87,87
1513908681,86,86
1513912271,64,64
1513915848,63,63
1513919474,64,64
1513923055,63,63
1513930282,62,62
1513933858,63,63
1513937462,62,62
1513941084,62,62
1513944646,61,61
1513948256,61,61
1513951845,62,62
1513955464,63,63
1513959048,64,64
1513966262,63,63
1513969895,63,63
1513973448,62,62
1513980669,63,63
1513984268,63,63
1513987892,78,78
1513991451,77,77
1513995025,76,76
1513998640,46,46
1514005836,45,45
1514009452,47,47
1514023840,46,46
1514045415,45,45
1514052637,46,46
1514063431,47,47
1514070644,46,46
1514074274,62,62
1514081443,62,62
1514085030,50,50
1514088625,48,48
1514099439,49,49
1514113845,48,48
1514124628,48,48
1514142642,47,47
1514157031,48,48
1514160680,72,72
1514167832,72,72
1514171452,59,59
1514175067,57,57
1514178665,56,56
1514182258,57,57
1514185848,58,58
1514189463,57,57
1514193053,57,57
1514203842,58,58
1514207442,57,57
1514218237,57,57
1514225425,57,57
1514229040,58,58
1514232652,57,57
1514236262,58,58
1514239855,57,57
1514247081,78,78
1514250618,78,78
1514254253,78,78
1514257848,64,64
1514261464,62,62
1514265033,63,63
1514268650,62,62
1514272252,63,63
1514275828,62,62
1514279443,62,62
1514283050,63,63
1514286658,64,64
1514290231,64,64
1514293843,64,64
1514297444,63,63
1514301037,63,63
1514304631,63,63
1514308233,63,63
1514311842,62,62
1514315443,63,63
1514319059,63,63
1514322634,64,64
1514326259,63,63
1514329820,62,62
1514333488,85,85
1514337034,86,86
1514340646,88,88
1514344239,66,66
1514347842,65,65
1514351463,71,71
1514355060,70,70
1514358660,71,71
1514362257,71,71
1514365883,71,71
1514369500,70,70
1514373122,72,72
1514376697,71,71
1514380298,72,72
1514383884,72,72
1514387509,71,71
1514391134,72,72
1514394682,72,72
1514398331,72,72
1514401929,71,71
1514405501,71,71
1514409125,62,62
1514412740,63,63
1514416302,63,63
1514420958,90,90
1514424167,91,91
1514427536,89,89
1514431135,63,63
1514434727,61,61
1514438295,0,0
1514478164,61,61
1514481753,62,62
1514485361,64,64
1514488936,66,66
1514492574,66,66
1514496130,67,67
1514499698,67,67
1514503307,67,67
1514507332,85,85
1514510617,84,84
1514514211,82,82
1514517883,65,65
1514521449,65,65
1514528626,64,64
1514532228,64,64
1514535830,63,63
1514543019,63,63
1514546643,63,63
1514550247,64,64
1514553812,65,65
1514557425,64,64
1514564668,65,65
1514568251,66,66
1514575442,67,67
1514579030,65,65
1514582646,64,64
1514586201,65,65
1514589824,65,65
1514593887,74,74
1514596979,73,73
1514600602,72,72
1514604212,59,59
1514614994,60,60
1514625039,59,59
1514635800,60,60
1514646627,59,59
1514653817,60,60
1514675414,61,61
1514679078,79,79
1514689851,56,56
