DateTime,Entries,UniqueIPs
1513195292,25,25
1513199084,24,24
1513202926,25,25
1513205078,23,23
1513206986,23,23
1513212746,22,22
1513214707,21,21
1513218521,20,20
1513220493,19,19
1513224284,18,18
1513226214,17,17
1513230044,15,15
1513231961,13,13
1513233896,13,13
1513237716,14,14
1513239624,15,15
1513241545,16,16
1513245391,16,16
1513248277,15,15
1513254454,15,15
1513262423,17,17
1513264348,18,18
1513266456,17,17
1513268284,17,17
1513274197,18,18
1513276118,17,17
1513279971,18,18
1513281887,17,17
1513289601,16,16
1513301259,17,17
1513320490,16,16
1513322419,15,15
1513326290,14,14
1513328101,13,13
1513331928,13,13
1513333949,14,14
1513341638,13,13
1513347851,11,11
1513349781,10,10
1513353697,9,9
1513359345,8,8
1513363264,9,9
1513367045,8,8
1513392768,9,9
1513394901,10,10
1513399014,11,11
1513411021,13,13
1513417066,12,12
1513420856,11,11
1513428498,12,12
1513438375,13,13
1513450354,13,13
1513463791,14,14
1513479398,13,13
1513481316,12,12
1513485170,11,11
1513496687,9,9
1513513962,8,8
1513523570,8,8
1513537294,7,7
1513551155,7,7
1513576371,8,8
1513580213,9,9
1513588155,10,10
1513597968,11,11
1513605881,12,12
1513609702,11,11
1513615461,12,12
1513625584,11,11
1513633484,12,12
1513645115,13,13
1513656513,14,14
1513662362,14,14
1513673795,13,13
1513686387,14,14
1513688490,13,13
1513692530,12,12
1513702127,11,11
1513720979,10,10
1513731524,9,9
1513742933,8,8
1513754477,7,7
1513756356,9,9
1513767162,10,10
1513772967,9,9
1513784498,8,8
1513804390,9,9
1513817074,8,8
1513818993,9,9
1513824690,10,10
1513834607,11,11
1513842266,9,9
1513854536,8,8
1513872296,10,10
1513895535,9,9
1513908760,8,8
1513912818,7,7
1513922508,6,6
1513938217,5,5
1513948240,6,6
1513957733,4,4
1513961562,5,5
1513965416,6,6
1513971226,8,8
1513975062,9,9
1513976927,10,10
1513986992,11,11
1513988936,12,12
1513991057,13,13
1514029716,14,14
1514047225,13,13
1514051069,12,12
1514056831,11,11
1514062594,10,10
1514064524,9,9
1514066489,11,11
1514072212,10,10
1514076058,10,10
1514077973,9,9
1514080036,10,10
1514082275,11,11
1514105852,12,12
1514107799,13,13
1514116006,12,12
1514137480,13,13
1514151651,12,12
1514153565,11,11
1514163242,10,10
1514167095,8,8
1514168916,9,9
1514180458,10,10
1514192491,9,9
1514194377,8,8
1514196286,9,9
1514200137,10,10
1514221289,11,11
1514225073,10,10
1514238436,13,13
1514255581,12,12
1514267086,11,11
1514277280,12,12
1514283104,11,11
1514286998,10,10
1514306215,10,10
1514310534,11,11
1514324949,8,8
1514326865,9,9
1514346293,10,10
1514364028,10,10
1514373886,11,11
1514384230,12,12
1514386365,13,13
1514392123,12,12
1514395987,12,12
1514397800,11,11
1514403865,12,12
1514413401,11,11
1514431269,10,10
1514437487,11,11
1514441545,12,12
1514445389,11,11
1514451160,10,10
1514461241,9,9
1514471822,8,8
1514483531,7,7
1514493414,6,6
1514497226,5,5
1514499148,6,6
1514509005,5,5
1514510923,7,7
1514516679,8,8
1514520522,9,9
1514522708,8,8
1514528433,9,9
1514536116,10,10
1514549715,11,11
1514557793,12,12
1514569985,13,13
1514585836,12,12
1514598151,11,11
1514600129,12,12
1514607764,12,12
1514609741,10,10
1514615548,9,9
1514636862,8,8
1514644844,8,8
1514657316,7,7
1514665469,6,6
1514667539,5,5
1514672034,6,6
1514685883,5,5
1514694047,5,5
1514697875,4,4
1514699804,5,5
1514707727,4,4
